	ckiptagger	pkuseg	fastHan	PyNLPIR	stanza	spacy	ltp	jiagu	lac	snownlp	target	char	sent
20304	Nd	t	NT	t	NOUN	NOUN	nt	nt	TIME	t	NT	天	541
20305	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	541
20306	Neu	m	CD	mq	NUM	ADV	m	mq	m	m	CD	一	541
20307	FW	m	M	mq	NOUN	ADV	m	mq	m	m	M	个	541
20308	Nd	t	NT	t	NOUN	NOUN	nt	nt	TIME	t	NT	秋	541
20309	Nd	t	NT	t	NOUN	NOUN	nt	nt	TIME	t	NT	天	541
20310	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	541
20311	FW	l	AD	vl	VERB	ADV	i	v	d	l	AD	说	541
20312	VH	l	AD	vl	ADJ	ADV	i	v	d	l	AD	不	541
20313	VH	l	AD	vl	ADJ	ADV	i	v	d	l	AD	定	541
20314	Nd	t	NT	t	NOUN	NOUN	nt	nt	TIME	t	NT	冬	541
20315	Nd	t	NT	t	NOUN	NOUN	nt	nt	TIME	t	NT	天	541
20316	D	d	AD	d	ADV	ADV	d	d	d	d	AD	也	541
20317	P	p	P	p	VERB	ADP	p	p	p	p	P	在	541
20318	FW	r	PN	rzs	DET	PRON	r	r	r	r	PN	这	541
20319	VA	r	PN	rzs	NOUN	PRON	r	r	r	r	PN	儿	541
20320	VA	v	VV	vf	NOUN	VERB	v	vd	u	v	VV	过	541
20321	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	541
20322	A	d	AD	b	ADV	ADV	d	d	d	nr	JJ	惟	542
20323	A	d	AD	b	NUM	ADV	d	d	d	nr	JJ	一	542
20324	D	v	VV	v	AUX	VERB	v	vu	v	v	VV	能	542
20325	VC	v	VV	v	VERB	VERB	v	v	v	v	VV	勾	542
20326	VC	v	VV	vf	VERB	VERB	v	v	v	v	VV	起	542
20327	FW	p	P	p	ADP	ADP	p	p	p	p	P	对	542
20328	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	它	542
20329	VA	v	VV	v	VERB	VERB	v	v	v	v	VV	回	542
20330	VA	v	VV	v	VERB	VERB	v	v	v	v	VV	忆	542
20331	DE	u	DEC	ude1	PART	PART	u	u	u	u	DEC	的	542
20332	SHI	v	VC	vshi	AUX	VERB	v	vl	v	v	VC	是	542
20333	Nep	ns	DT	rzv	DET	DET	r	r	r	r	DT	那	542
20334	Na	m	CD	m	NUM	NUM	m	n	m	m	CD	两	542
20335	Na	q	M	q	NOUN	NUM	q	n	m	q	M	棵	542
20336	Na	n	NN	nr2	NOUN	NOUN	n	a	n	Tg	JJ	巨	542
20337	Na	n	NN	nr2	NOUN	NOUN	n	n	n	Tg	NN	松	542
20338	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	542
20339	Na	n	JJ	nr2	PROPN	NOUN	a	a	n	Tg	JJ	巨	542
20340	Na	n	NN	nr2	PROPN	NOUN	a	n	n	Tg	NN	松	542
20341	Caa	d	CC	d	ADV	ADV	c	d	d	d	CC	又	542
20342	VH	a	VA	a	ADJ	VERB	a	a	a	a	VA	高	542
20343	Caa	d	CC	d	CCONJ	CCONJ	c	d	d	z	CC	又	542
20344	FW	a	VA	a	ADJ	VERB	a	a	a	z	VA	细	542
20345	DE	u	DEC	ude1	PART	PART	u	u	u	u	DEC	的	542
20346	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	枝	542
20347	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	叶	542
20348	D	d	NN	d	NOUN	ADV	d	nt	d	d	NN	日	542
20349	D	d	NN	d	NOUN	ADV	d	nt	d	d	NN	夜	542
20350	VH	v	VV	v	VERB	VERB	v	v	v	v	VV	发	542
20351	VH	v	VV	v	VERB	VERB	v	v	v	v	VV	出	542
20352	VH	a	VA	a	ADJ	NOUN	a	a	a	a	VA	凄	542
20353	VH	a	VA	a	ADJ	NOUN	a	a	a	a	VA	厉	542
20354	DE	u	DEC	ude1	PART	PART	u	u	u	u	DEC	的	542
20355	Na	vn	NN	vn	NOUN	NOUN	v	v	vn	vn	NN	呼	542
20356	Na	vn	NN	vn	NOUN	NOUN	v	v	vn	vn	NN	啸	542
20357	ETCCATEGORY	w	PU	ws	PART	PUNCT	wp	w	w	w	PU	…	542
20358	ETCCATEGORY	w	PU	ws	PUNCT	PUNCT	wp	w	w	w	PU	…	542
20359	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	我	543
20360	Nb	v	P	p	ADP	ADP	p	p	p	Ng	P	为	543
20361	Nb	nr	NR	nrf	PROPN	PROPN	nh	n	PER	Ng	NR	卡	543
20362	Nb	nr	NR	nrf	PROPN	PROPN	nh	a	PER	Ng	NR	捷	543
20363	Nb	nr	NR	nrf	PROPN	PROPN	nh	nh	PER	Ng	NR	琳	543
20364	Nb	nr	NR	nrf	PROPN	PROPN	nh	nh	PER	Ng	NR	娜	543
20365	VK	v	VV	v	AUX	VERB	v	v	v	v	VV	感	543
20366	VK	v	VV	v	AUX	VERB	v	v	v	v	VV	到	543
20367	Nb	a	VA	a	ADJ	VERB	a	a	an	a	VA	高	543
20368	Nb	a	VA	a	ADJ	VERB	a	a	an	a	VA	兴	543
20369	ETCCATEGORY	w	PU	ws	PUNCT	PUNCT	wp	w	w	w	PU	…	543
20370	ETCCATEGORY	w	PU	ws	PUNCT	PUNCT	wp	w	w	w	PU	…	543
20371	D	d	AD	d	AUX	ADV	d	d	d	d	AD	也	543
20372	FW	v	VC	v	AUX	ADP	p	p	p	v	VC	为	543
20373	Nb	nr	NR	nrf	PROPN	PROPN	nh	nz	PER	Rg	NR	阿	543
20374	Nb	nr	NR	nrf	PROPN	PROPN	nh	nz	PER	Rg	NR	尔	543
20375	Nb	nr	NR	nrf	PROPN	PROPN	nh	n	PER	Rg	NR	卡	543
20376	Nb	nr	NR	nrf	PROPN	PROPN	nh	nt	PER	Ng	NR	季	543
20377	Nb	nr	NR	nrf	PUNCT	PROPN	nh	w	w	w	NR	·	543
20378	Nb	nr	NR	nrf	PROPN	PROPN	nh	nh	PER	e	NR	尼	543
20379	Nb	nr	NR	nrf	PROPN	PROPN	nh	nh	PER	e	NR	古	543
20380	Nb	nr	NR	nrf	PROPN	PROPN	nh	nh	PER	e	NR	拉	543
20381	Nb	nr	NR	nrf	PROPN	PROPN	nh	x	PER	e	NR	伊	543
20382	Nb	nr	NR	nrf	PROPN	PROPN	nh	a	PER	e	NR	奇	543
20383	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	543
20384	Nb	w	PU	wyz	PUNCT	PUNCT	wp	w	w	w	PU	“	544
20385	Nb	p	P	p	ADP	ADP	p	p	p	p	P	对	544
20386	Nb	p	P	p	ADP	ADP	p	p	p	p	P	于	544
20387	Nb	r	DT	rzv	DET	DET	r	r	r	r	DT	这	544
20388	Neu	m	CD	m	NUM	NUM	m	m	r	m	CD	一	544
20389	FW	q	M	q	NOUN	NUM	m	q	r	q	M	项	544
20390	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	我	544
20391	D	d	AD	d	ADV	ADV	d	d	d	d	AD	不	544
20392	D	ad	AD	ad	ADV	ADV	a	d	d	ad	AD	完	544
20393	D	ad	AD	ad	ADV	ADV	a	d	d	ad	AD	全	544
20394	VK	v	VV	v	VERB	VERB	v	v	v	v	VV	同	544
20395	VK	v	VV	v	VERB	VERB	v	v	v	v	VV	意	544
20396	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	Rg	PU	，	544
20397	P	w	PU	wyy	PUNCT	PUNCT	wp	w	w	Rg	PU	”	544
20398	Nb	nr	NR	n	PROPN	PROPN	nh	nh	PER	Rg	NR	巴	544
20399	Nb	nr	NR	n	PROPN	PROPN	nh	nh	PER	Rg	NR	扎	544
20400	Nb	nr	NR	nr1	PROPN	PROPN	nh	nh	PER	Rg	NR	罗	544
20401	Nb	nr	NR	ng	PROPN	PROPN	nh	nh	PER	Rg	NR	夫	544
20402	Nb	v	VV	v	VERB	VERB	v	v	v	Ng	VV	说	544
20403	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	544
20404	Na	w	PU	wyz	PUNCT	PUNCT	wp	w	w	w	PU	“	544
20405	Na	r	PN	rzv	PRON	PRON	r	r	r	r	PN	这	544
20406	Na	v	VV	v	NOUN	PRON	v	v	v	v	VV	带	544
20407	V_2	v	VV	vyou	VERB	VERB	v	v	v	v	VV	有	544
20408	Na	q	M	q	NOUN	VERB	v	v	v	q	M	点	544
20409	Nb	q	M	q	NOUN	VERB	v	v	v	q	M	儿	544
20410	Na	ns	NR	nsf	PROPN	PROPN	ns	ns	LOC	ns	NR	法	544
20411	Na	ns	NR	nsf	PROPN	PROPN	ns	ns	LOC	ns	NR	国	544
20412	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	小	544
20413	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	说	544
20414	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	544
20415	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	味	544
20416	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	儿	544
20417	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	544
20418	D	d	AD	d	AUX	ADV	d	d	d	d	AD	不	544
20419	VG	d	VV	v	AUX	VERB	d	vl	v	v	VV	像	544
20420	SHI	v	VC	vshi	AUX	VERB	d	vl	v	v	VC	是	544
20421	VH	i	VA	a	ADJ	VERB	a	a	a	a	VA	真	544
20422	T	i	VA	ude1	ADJ	VERB	a	a	a	u	VA	的	544
20423	T	y	SP	y	PART	PART	u	u	u	u	SP	了	544
20424	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	na	PU	。	544
20425	VE	w	PU	wyy	PUNCT	PUNCT	wp	w	w	na	PU	”	544
20426	D	d	AD	m	NUM	ADV	d	d	d	m	AD	一	545
20427	VE	v	VV	v	AUX	VERB	v	v	v	v	VV	想	545
20428	VE	v	VV	v	VERB	VERB	v	v	v	v	VV	起	545
20429	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	她	545
20430	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	545
20431	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	他	545
20432	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	545
20433	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	血	545
20434	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	液	545
20435	D	n	AD	d	ADV	VERB	d	d	d	d	AD	便	545
20436	VG	n	VV	v	VERB	VERB	v	v	v	v	VV	像	545
20437	D	d	AD	p	VERB	ADV	d	p	d	p	AD	在	545
20438	Na	v	VV	v	VERB	VERB	v	v	v	v	VV	燃	545
20439	Na	v	VV	v	VERB	VERB	v	v	v	v	VV	烧	545
20440	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	545
20441	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	他	545
20442	D	d	AD	d	ADV	ADV	d	d	d	d	AD	本	545
20443	D	v	VV	v	AUX	VERB	v	vu	d	v	VV	可	545
20444	D	v	VV	v	AUX	VERB	v	vu	d	v	VV	以	545
20445	VH	d	VA	d	ADJ	ADV	d	a	a	d	VA	轻	545
20446	VH	d	VA	d	ADJ	ADV	d	a	a	d	VA	易	545
20447	DE	u	DEV	ude2	PART	PART	u	u	a	u	DEV	地	545
20448	VC	v	VV	vi	VERB	VERB	v	v	v	v	VV	平	545
20449	VC	v	VV	vi	VERB	VERB	v	v	v	v	VV	息	545
20450	FW	vn	VV	vi	VERB	NOUN	v	v	v	v	VV	骚	545
20451	FW	vn	VV	vi	VERB	NOUN	v	v	v	v	VV	动	545
20452	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	545
20453	Cbb	c	AD	c	ADV	ADV	c	c	c	c	AD	但	545
20454	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	他	545
20455	Na	s	NN	s	NOUN	NOUN	nl	nl	s	s	NN	体	545
20456	Na	s	NN	s	NOUN	NOUN	nl	nl	s	s	NN	内	545
20457	VH	v	VV	v	VERB	VERB	v	v	v	v	VV	活	545
20458	FW	v	VV	v	VERB	VERB	v	v	v	v	VV	跃	545
20459	FW	u	AS	uzhe	PART	PART	u	u	u	u	AS	着	545
20460	Nes	r	DT	rz	DET	DET	r	r	r	r	DT	某	545
20461	VH	r	M	q	DET	DET	r	r	r	r	M	种	545
20462	VH	a	JJ	a	ADJ	VERB	a	a	a	a	JJ	新	545
20463	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	545
20464	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	因	545
20465	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	子	545
20466	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	545
20467	FW	l	AD	p	ADP	ADV	p	v	d	p	AD	对	545
20468	Nep	l	AD	rzs	PRON	ADV	p	v	d	r	AD	此	545
20469	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	他	545
20470	FW	d	AD	d	ADV	ADV	d	d	d	d	AD	从	545
20471	D	d	AD	d	ADV	ADV	d	d	d	d	AD	未	545
20472	VH	v	VV	v	VERB	VERB	v	v	v	v	VV	允	545
20473	VH	v	VV	v	VERB	VERB	v	v	v	v	VV	许	545
20474	VA	v	VV	v	VERB	VERB	v	v	vn	v	VV	存	545
20475	VA	v	VV	v	VERB	VERB	v	v	vn	v	VV	在	545
20476	Na	c	CC	cc	ADV	ADV	c	c	c	c	CC	并	545
20477	D	d	AD	d	ADV	ADV	d	d	d	d	AD	刻	545
20478	D	d	AD	d	ADV	ADV	d	d	d	d	AD	意	545
20479	D	vx	VV	vx	VERB	VERB	v	v	v	v	VV	加	545
20480	D	vx	VV	vx	ADV	VERB	v	v	v	v	VV	以	545
20481	VC	v	VV	vn	VERB	VERB	v	v	v	v	VV	抑	545
20482	VC	v	VV	vn	VERB	VERB	v	v	v	v	VV	制	545
20483	FW	u	AS	uguo	PART	PART	u	u	u	u	AS	过	545
20484	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	545
20485	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	他	545
20486	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	545
20487	VH	a	NN	a	NOUN	NOUN	a	v	an	an	NN	自	545
20488	VH	a	NN	a	NOUN	NOUN	a	v	an	an	NN	傲	545
20489	D	d	AD	d	ADV	ADV	d	d	d	d	AD	也	545
20490	D	d	AD	d	ADV	ADV	d	d	d	d	AD	曾	545
20491	FW	ad	AD	ad	ADV	ADV	a	a	v	ad	AD	坚	545
20492	FW	ad	AD	ad	ADV	ADV	a	a	v	ad	AD	决	545
20493	VA	v	VV	v	VERB	VERB	v	v	v	v	VV	反	545
20494	VA	v	VV	v	VERB	VERB	v	v	v	v	VV	对	545
20495	VA	u	AS	uguo	PART	PART	u	u	u	u	AS	过	545
20496	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	545
20497	Nh	r	PN	rr	PRON	NOUN	r	r	r	r	PN	他	546
20498	FW	r	CD	m	PRON	NOUN	r	r	m	r	CD	俩	546
20499	Nh	r	PN	rr	DET	PRON	r	r	r	r	PN	各	546
20500	Nh	r	PN	rr	VERB	PRON	r	r	r	r	PN	自	546
20501	VCL	v	VV	v	VERB	VERB	v	v	v	v	VV	坐	546
20502	VCL	v	VV	p	VERB	VERB	v	v	v	p	VV	到	546
20503	Nd	t	NT	t	NOUN	NOUN	nt	nt	TIME	t	NT	昨	546
20504	Nd	t	NT	t	NOUN	NOUN	nt	nt	TIME	t	NT	夜	546
20505	VA	v	VV	v	VERB	VERB	v	v	v	v	VV	坐	546
20506	DE	u	DEC	ude1	PART	PART	u	u	u	u	DEC	的	546
20507	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	位	546
20508	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	置	546
20509	Ncd	v	LC	f	ADP	PART	nd	nd	f	f	LC	上	546
20510	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	546
20511	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	他	547
20512	D	d	AD	d	ADV	ADV	d	d	d	d	AD	又	547
20513	P	p	P	p	ADP	ADP	p	p	p	p	P	向	547
20514	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	她	547
20515	VB	v	VV	v	VERB	VERB	v	v	v	v	VV	扑	547
20516	T	v	VV	vf	VERB	VERB	v	v	v	v	VV	去	547
20517	ETCCATEGORY	w	PU	ws	PUNCT	PUNCT	wp	w	w	w	PU	…	547
20518	ETCCATEGORY	w	PU	ws	PUNCT	PUNCT	wp	w	w	w	PU	…	547
20519	VG	w	PU	wyz	PUNCT	PUNCT	wp	w	w	w	PU	“	548
20520	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	老	548
20521	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	婆	548
20522	QUESTIONCATEGORY	w	PU	ww	PUNCT	PUNCT	wp	w	w	w	PU	？	548
20523	PARENTHESISCATEGORY	w	PU	wyz	PUNCT	PUNCT	wp	w	w	w	PU	“	549
20524	D	v	VV	vf	VERB	VERB	v	v	v	v	VV	去	549
20525	VC	v	VV	v	VERB	VERB	v	v	v	v	VV	告	549
20526	Na	v	VV	v	VERB	VERB	v	v	v	v	VV	诉	549
20527	Nb	nr	NR	nrf	PROPN	PROPN	nh	nh	PER	Rg	NR	阿	549
20528	Nb	nr	NR	nrf	PROPN	PROPN	nh	nh	PER	Rg	NR	尔	549
20529	Nb	nr	NR	nrf	PROPN	PROPN	nh	n	PER	Rg	NR	卡	549
20530	Nb	nr	NR	nrf	PROPN	PROPN	nh	nt	PER	Ng	NR	季	549
20531	Nb	nr	NR	nrf	PUNCT	PROPN	nh	w	w	w	NR	·	549
20532	Nb	nr	NR	nrf	PROPN	PROPN	nh	nh	PER	Rg	NR	尼	549
20533	Nb	nr	NR	nrf	PROPN	PROPN	nh	nh	PER	Rg	NR	古	549
20534	Nb	nr	NR	nrf	PROPN	PROPN	nh	nh	PER	Rg	NR	拉	549
20535	Nb	nr	NR	nrf	PROPN	PROPN	nh	x	PER	Rg	NR	伊	549
20536	Nb	nr	NR	nrf	PROPN	PROPN	nh	a	PER	Rg	NR	奇	549
20537	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	Rg	PU	，	549
20538	VG	w	PU	wyy	PUNCT	PUNCT	wp	w	w	Rg	PU	”	549
20539	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	老	549
20540	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	人	549
20541	VC	v	VV	v	VERB	VERB	v	v	v	v	VV	接	549
20542	VC	u	AS	uguo	VERB	VERB	v	v	v	u	AS	过	549
20543	VC	n	NN	n	NOUN	NOUN	n	n	n	Yg	NN	话	549
20544	VC	n	NN	n	PART	NOUN	n	n	n	Yg	NN	头	549
20545	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	549
20546	Na	m	CD	m	NUM	NUM	m	m	n	m	CD	两	550
20547	Na	q	M	q	NOUN	NUM	q	m	n	q	M	条	550
20548	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	路	550
20549	Na	p	P	p	VERB	ADP	p	p	p	p	P	于	550
20550	Na	m	CD	m	NUM	NUM	m	n	ORG	Mg	CD	两	550
20551	Na	q	M	q	NOUN	NUM	q	n	ORG	Mg	M	处	550
20552	Na	v	VV	v	VERB	NOUN	v	v	ORG	v	VV	汇	550
20553	Na	v	VV	v	VERB	NOUN	v	v	ORG	v	VV	合	550
20554	COLONCATEGORY	w	PU	wp	PUNCT	PUNCT	wp	w	w	w	PU	：	550
20555	P	p	P	p	ADP	ADP	p	p	p	p	P	在	550
20556	Nc	ns	NR	w	PROPN	PROPN	n	n	LOC	p	NR	峪	550
20557	Nc	ns	NR	ng	PROPN	PROPN	n	n	LOC	p	NR	谷	550
20558	Nc	r	PN	rzs	PROPN	PRON	n	r	r	r	PN	那	550
20559	Nc	r	PN	rzs	PROPN	PRON	n	r	r	r	PN	里	550
20560	Caa	c	CC	cc	CCONJ	CCONJ	c	c	c	c	CC	和	550
20561	P	p	P	p	ADP	ADP	p	p	p	p	P	在	550
20562	Nc	ns	NR	f	PROPN	NOUN	p	nd	LOC	Tg	NR	上	550
20563	Nc	ns	NR	n	PROPN	NOUN	p	n	LOC	Tg	NR	镇	550
20564	Na	p	CC	cc	CCONJ	CCONJ	c	c	p	c	CC	与	550
20565	VA	ns	NR	vf	PROPN	NOUN	nd	nd	LOC	Tg	NR	下	550
20566	VA	ns	NR	n	PROPN	NOUN	nd	n	LOC	Tg	NR	镇	550
20567	DE	f	LC	f	ADP	PART	nd	nd	f	f	LC	之	550
20568	FW	f	LC	f	ADP	PART	nd	nd	f	f	LC	间	550
20569	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	550
20570	Na	n	JJ	n	NOUN	NOUN	n	n	n	n	JJ	圆	550
20571	Na	n	JJ	n	NOUN	NOUN	n	n	n	n	JJ	形	550
20572	Na	n	NN	s	PART	PROPN	n	nl	s	nr	NN	林	550
20573	Ncd	f	LC	s	PROPN	PROPN	n	nl	s	f	LC	中	550
20574	Na	n	NN	n	PART	PROPN	n	n	n	n	NN	空	550
20575	Na	n	NN	n	PART	NOUN	n	n	n	n	NN	地	550
20576	Ncd	v	LC	f	NOUN	NOUN	n	nd	n	f	LC	上	550
20577	DASHCATEGORY	w	PU	wp	PUNCT	PUNCT	wp	w	w	w	PU	—	550
20578	DASHCATEGORY	w	PU	wp	PUNCT	PUNCT	wp	w	w	w	PU	—	550
20579	P	p	P	p	VERB	ADP	p	p	p	p	P	由	550
20580	Nep	r	PN	rzs	PRON	PRON	r	r	r	r	PN	那	550
20581	FW	r	PN	rzs	PRON	PRON	r	r	r	r	PN	儿	550
20582	P	d	AD	d	ADV	ADV	d	d	d	d	AD	逐	550
20583	Na	d	AD	d	ADV	ADV	d	d	d	d	AD	渐	550
20584	VC	v	VV	v	VERB	VERB	v	v	v	v	VV	展	550
20585	VC	v	VV	v	VERB	VERB	v	v	v	v	VV	现	550
20586	VH	a	VA	a	ADJ	ADJ	a	a	a	a	VA	奇	550
20587	VH	a	VA	a	ADJ	ADJ	a	a	a	a	VA	妙	550
20588	DE	u	DEC	ude1	PART	PART	u	u	u	u	DEC	的	550
20589	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	风	550
20590	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	光	550
20591	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	550
20592	VE	w	PU	wyz	PUNCT	PUNCT	wp	w	w	w	PU	“	551
20593	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	他	551
20594	VH	r	PN	rr	PRON	PRON	r	r	r	r	PN	们	551
20595	VH	v	VV	vf	VERB	VERB	v	vd	v	v	VV	来	551
20596	Di	u	AS	ule	PART	PART	u	u	u	u	AS	了	551
20597	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	客	551
20598	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	人	551
20599	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	551
20600	FW	p	AD	v	VERB	ADV	u	v	v	v	AD	连	551
20601	FW	p	AD	uzhe	VERB	ADV	u	v	v	v	AD	着	551
20602	VC	v	VV	vi	VERB	NOUN	v	v	vn	v	VV	喝	551
20603	Na	v	NN	vi	NOUN	NOUN	v	v	vn	v	VV	酒	551
20604	Na	n	NN	n	PART	NOUN	v	n	n	n	NN	酒	551
20605	D	d	AD	d	ADV	ADV	d	d	d	d	AD	已	551
20606	VH	d	AD	d	ADV	ADV	d	d	d	d	AD	经	551
20607	SHI	v	VC	vshi	AUX	VERB	v	vl	v	v	VC	是	551
20608	Neu	m	OD	m	NUM	NUM	m	m	m	m	OD	第	551
20609	Neu	m	OD	m	NUM	NUM	m	m	m	m	OD	五	551
20610	Nf	q	M	qt	NOUN	NUM	q	nt	m	q	M	天	551
20611	T	y	SP	y	PART	PART	u	u	xc	y	SP	了	551
20612	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	551
20613	VG	w	PU	wyz	PUNCT	PUNCT	wp	w	w	w	PU	“	552
20614	Na	n	JJ	n	PROPN	PROPN	n	n	n	n	JJ	小	552
20615	Na	n	NN	n	PROPN	PROPN	n	n	n	n	NN	姑	552
20616	Na	n	NN	n	VERB	PROPN	n	n	n	n	NN	娘	552
20617	Na	v	VV	vi	VERB	VERB	v	v	v	v	VV	发	552
20618	VH	v	VV	vi	VERB	VERB	v	v	v	a	VV	狂	552
20619	T	y	SP	y	PART	PART	u	u	u	u	SP	了	552
20620	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	o	PU	。	552
20621	P	w	PU	wyy	PUNCT	PUNCT	wp	w	w	o	PU	”	552
20622	Nb	j	NR	nrf	PROPN	PROPN	wp	a	PER	o	NR	美	552
20623	Nb	n	NR	nrf	PROPN	PROPN	wp	nh	PER	o	NR	狄	552
20624	Nb	n	NR	nrf	PROPN	PROPN	wp	n	PER	o	NR	娅	552
20625	VE	v	VV	v	VERB	VERB	v	v	v	v	VV	想	552
20626	Na	u	AS	uzhe	VERB	PART	v	u	v	u	AS	着	552
20627	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	552
20628	D	d	AD	d	VERB	ADV	d	d	d	d	AD	都	553
20629	VK	v	VV	v	VERB	VERB	v	v	v	v	VV	知	553
20630	VK	v	VV	v	PROPN	VERB	v	v	v	v	VV	道	553
20631	FW	ns	NR	nrf	PROPN	PROPN	ns	m	PER	m	NR	万	553
20632	FW	ns	NR	nrf	PROPN	PROPN	ns	n	PER	q	NR	尼	553
20633	FW	ns	NR	nrf	PROPN	PROPN	ns	n	PER	q	NR	亚	553
20634	FW	d	AD	d	ADV	ADV	d	d	d	d	AD	还	553
20635	VH	v	VV	v	VERB	VERB	v	v	v	a	VV	活	553
20636	VH	u	VV	uzhe	VERB	PART	v	v	v	u	AS	着	553
20637	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	553
20638	Cbb	c	CC	c	ADV	ADV	c	c	c	c	CC	但	553
20639	D	d	AD	d	AUX	ADV	d	vu	v	d	AD	不	553
20640	D	v	VV	v	AUX	VERB	d	vu	v	v	VV	能	553
20641	FW	v	VV	vi	VERB	VERB	v	v	v	y	VV	动	553
20642	FW	v	VV	vi	VERB	VERB	v	v	v	y	VV	弹	553
20643	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	553
20644	Nd	f	NT	f	NOUN	NOUN	nd	nt	f	f	NT	以	554
20645	Nd	f	NT	f	NOUN	NOUN	nd	nt	f	f	NT	前	554
20646	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	他	554
20647	DE	d	AD	ude1	PART	ADV	d	d	d	d	AD	的	554
20648	Na	d	AD	d	PROPN	ADV	d	d	d	d	AD	确	554
20649	Na	d	AD	d	PROPN	ADV	d	d	d	d	AD	也	554
20650	Na	v	VV	v	VERB	VERB	v	v	v	v	VV	发	554
20651	VC	v	VV	v	VERB	VERB	v	v	v	v	VV	生	554
