- парфен ? да уж это не тех ли самых рогожиных ... - начал было с усиленною важностью чиновник . ||| “ 帕 尔 芬 ？ 这 不 就 是 那 一 家 罗 戈 任 … … ” 小 公 务 员 特 别 傲 慢 地 说 。
возня с наемными работниками становилась невыносимою . ||| 雇 工 简 直 在 坑 人 ：
нашел его , сказал : « кризис » — и утешен . ||| 说 声 ‘ 过 去 了 ’ 便 就 心 安 理 得 。
живите долго , это лучше всего , и пользуйтесь , пока время . ||| 祝 您 长 寿 ， 因 为 这 是 人 所 最 最 主 要 的 ； 愿 不 虚 度 年 华 。
давно ли он так же мечтал , поджидая сына на постоялом дворике , а с тех пор уже произошла перемена , уже определились , тогда еще неясные , отношения ... и как ! ||| 但 是 啊 ， 自 他 在 马 车 站 等 他 儿 子 归 来 到 现 在 ， 时 间 没 隔 多 久 ， 情 况 却 发 生 了 变 化 ， 那 时 他 有 过 关 于 父 子 关 系 的 模 糊 幻 想 ， 如 今 由 模 糊 而 清 晰 了 … … 而 且 如 此 地 分 明 ！
в последующие годы старые лозы окончательно выродились , и вековые труды пропали даром . ||| 在 这 之 后 的 几 年 里 ， 老 藤 彻 底 退 化 ， 几 百 年 的 操 劳 就 徒 然 无 益 了 。
на этом самом месте , выписывая крупными идеальными буквами родные имена , она всегда переживала одно и то же состояние : как будто она плывет по реке , а впереди нее , разлетающимся треугольником , ее братья и сестры , их молодые и маленькие дети , а позади , таким же веером , но гораздо более длинным , исчезающим в легкой ряби воды , ее умершие родители , деды – словом , все предки , имена которых она знала , и те , чьи имена рассеялись в ушедшем времени . ||| - - -
— что с ним ? ||| 她 不 慌 不 忙 地 洗 了 手 ， 打 开 婴 儿 的 福 褓 ， 看 了 看 他 ， 困 感 地 耸 了 耸 肩 膀 。
- ну коли так , - воскликнул рогожин , - совсем ты , князь , выходишь юродивый , и таких , как ты , бог любит ! ||| “ 噢 ， 既 然 这 样 。 ” 罗 戈 任 大 声 嚷 着 ， “ 公 爵 ， 你 真 是 一 位 苦 行 僧 了 ， 像 你 这 样 的 人 ， 上 帝 都 会 喜 欢 的 ！ ”
я и не думал , чтоб от страху можно было заплакать не ребенку , человеку , который никогда не плакал , человеку в сорок пять лет . ||| 我 甚 至 没 有 想 到 ， 一 个 不 是 孩 子 的 人 ， 而 且 从 来 也 不 哭 的 ４ ５ 岁 的 汉 子 ， 竟 会 因 恐 惧 而 哭 泣 ，
средняя , аделаида , смешливая , не выдержала и рассмеялась . ||| 中 间 的 女 儿 阿 杰 莱 达 是 个 爱 笑 的 姑 娘 ， 这 时 忍 不 住 哈 哈 大 笑 起 来 。
и вы так же , конечно , думаете ? ||| 您 当 然 也 是 这 样 想 的 吧 ？ ”
бабушка крестится . — пресвятая матерь божия ! ||| 外 祖 母 画 了 一 个 十 字 ： “ 至 圣 圣 母 啊 ！
бог — был , а матери у него не было , эко ! ||| 有 上 帝 ， 他 却 没 有 妈 妈 ！
иногда , чтобы позлить старую хозяйку , я сокрушенно говорил ей : — а богородица-то , видно , забыла наказать меня ... ||| 有 时 我 故 意 向 老 婆 子 挑 衅 ， 打 击 她 说 ： “ 圣 母 大 概 忘 记 责 罚 我 了 … … ”
стоят по сторонам дороги старые , битые громом березы , простирая над головой моей мокрые сучья ; слева , под горой , над черной волгой , плывут , точно в бездонную пропасть уходя , редкие огоньки на мачтах последних пароходов и барж , бухают колеса по воде , гудят свистки . ||| 公 路 两 旁 ， 立 着 被 雪 打 坏 的 老 白 桦 树 ， 在 我 头 上 伸 出 了 湿 淋 淋 的 枝 条 。 向 左 边 山 崖 底 下 望 去 ， 黑 洞 洞 的 伏 尔 加 河 上 ， 浮 闪 着 末 班 轮 船 和 驳 船 上 的 几 盏 桅 灯 ， 好 象 正 向 无 底 的 深 渊 沉 下 去 。 这 些 船 的 蹼 轮 ， 在 水 里 啪 啪 地 响 着 ， 汽 笛 呜 呜 地 叫 着 。
— но ! — крикнула дама на меня , как на лошадь , и топнула ногою о ступень крыльца . ||| “ 嗯 。 ” 夫 人 跟 叱 马 一 般 叱 了 我 一 声 ， 一 只 脚 在 门 廊 上 跺 了 一 下 。
усадьба постоянно перестраивается , подвижные зеркала ненадолго обновляют пространство , в саду устроен грот с эхом , которое не повторяет звуков , а живет самостоятельной прихотливой жизнью , так что его можно толковать и употреблять для гаданий ; призрачные фигуры из проволоки и жести перекатываются на ветру , меняя при этом вид и наводя суеверный страх на окрестных жителей , а в оранжерее высеяны семена экзотических растений , чьих названий хозяин не хочет даже знать , надеясь на сюрприз . ||| 庄 园 经 常 改 建 翻 修 ， 可 移 动 的 镜 子 一 时 间 使 空 间 焕 然 一 新 ， 花 园 里 兴 建 带 回 声 的 人 造 山 洞 ， 那 并 非 声 音 的 重 复 ， 而 是 充 满 独 立 奇 妙 的 生 机 ， 从 金 属 线 和 白 铁 皮 里 面 放 映 出 来 的 梦 幻 般 的 人 影 在 乘 车 兜 风 ， 同 时 改 变 着 景 色 ， 使 附 近 的 居 民 产 生 迷 信 的 恐 惧 ， 温 室 里 播 下 的 是 连 主 人 甚 至 都 不 想 知 道 其 名 的 植 物 种 子 ， 期 望 得 到 出 人 意 料 的 礼 物 。
подбиралось еще несколько подобных фантиков , где время описывалось по приметам : « легендарное время , когда в дальних деревнях бутылку продавали за полтинник , а в ближних и того дешевле » ; « время , когда не вырабатывалось новых вещей , а шло проживание , латание и переосмысление старых » . ||| 再 挑 选 一 些 类 似 的 糖 纸 ， 在 那 里 时 间 是 按 体 验 描 述 的 ： “ 当 远 处 的 村 庄 里 → 瓶 酒 卖 五 十 戈 比 ， 而 附 近 村 子 里 卖 得 便 宜 时 ， 这 就 是 难 以 置 信 的 时 间 。 ” “ 当 新 作 没 有 完 成 ， 而 对 旧 作 的 感 受 、 修 修 补 补 和 重 新 理 解 还 在 进 行 时 ， 这 就 是 时 间 。 ”
за что тебе такое ... ||| 你 这 究 竟 为 什 么 … …
— а верно , что к лифшицу вчера приходили ? — спросила , дождавшись , та же из-за стола . ||| “ 那 么 他 们 昨 天 到 利 夫 希 丧 那 儿 去 了 ， 确 实 吗 ？ ” 那 个 女 人 问 。
вы так по-родственному комментировали эту провинциальную философию , так всерьез ... если что помешало антону сразу вскинуться самолюбиво и оскорбленно , так это внезапное воспоминание , как на московской ночной улице максим сиверс обратил к нему странную свою усмешку : « хочется вас подергать за бороду : настоящая ли ? » ||| 您 像 亲 戚 那 样 评 注 这 种 外 省 哲 学 ， 那 么 一 本 正 经 … … 您 别 见 怪 。
было и чувство вины , и надежда что-то изменить . ||| 这 里 既 有 一 种 负 罪 感 ， 也 有 想 改 变 什 么 的 希 冀 。
титько нюхом чуял здесь падение , и то , что шмякался человек с такой высоты , тешило чувство справедливости . ||| 季 季 科 灵 敏 地 嗅 到 这 里 有 道 德 上 的 堕 落 ， － 个 人 从 那 高 处 跌 下 来 使 他 的 正 义 感 得 到 了 满 足 。
как дышится легко — впору испугаться . ||| 呼 吸 多 么 轻 松 — — 简 直 吓 人 。
можно бы даже выразиться : « компактный » , и в этой компактности , между прочим , очевидны свои удобства . ||| 也 许 ， 甚 至 可 以 这 样 表 达 ： 很 “ 紧 凑 ” ， 并 且 顺 便 说 说 ， 在 这 种 紧 凑 中 它 的 方 便 是 显 而 易 见 的 。
и так же , как всегда , вечный вась васич , неседеющий городской дурак , провожал гробы с мертвецами , только возили их теперь на телегах навалом , а хоронили за городом , и дальше заставы провожающих не пускали : из-за эпидемии закрыты были въезды и выезды , у шлагбаумов стояли солдаты , снабженные противогазами для дыхания среди дыма . ||| 同 平 时 一 样 ， 永 恒 的 瓦 西 · 瓦 西 奇 ， 一 个 头 发 永 不 变 白 的 城 市 傻 瓜 陪 伴 着 装 有 死 人 的 棺 材 ， 只 是 现 在 人 们 才 把 它 们 散 堆 在 大 车 上 运 走 ， 埋 在 了 城 外 ， 随 后 哨 兵 不 放 伴 送 者 过 去 ， 由 于 流 行 病 进 出 口 都 已 关 闭 ， 栏 木 旁 站 着 士 兵 们 ， 装 备 有 防 毒 面 具 以 备 在 烟 气 中 呼 吸 。
какой свет , какая боль и какая ясность ! ||| 多 么 明 亮 ， 多 么 痛 苦 ， 多 么 清 晰 ！
ипполит матвеевич , повизгивая от страха , бросился к соседке . ||| 伊 波 里 特 · 马 特 韦 耶 维 奇 吓 得 尖 叫 一 声 ， 向 农 艺 师 家 冲 去 ：
тщательно заперев за дворником дверь , бендер обернулся к все еще стоявшему среди комнаты воробьянинову и сказал : ||| 守 门 人 走 后 ， 宾 杰 尔 随 即 将 门 仔 细 闩 好 ， 转 过 身 ， 对 着 一 直 站 在 房 中 央 的 沃 洛 比 亚 尼 诺 夫 说 道 ：
ничего ? ||| 没 什 么 了 ？ 好 啦 ，
позади меня гудят стропила . ||| 我 身 后 的 桁 架 在 嗡 嗡 作 响 。
наконец , нашли треухова . ||| 人 们 终 于 找 到 了 特 列 乌 霍 夫 。
на семейном вечере голодный накурившийся треухов выпил три рюмки водки и совершенно опьянел . ||| 在 家 庭 晚 会 上 特 列 乌 霍 夫 由 于 腹 内 空 空 ， 吸 烟 过 多 ， 三 杯 伏 特 加 下 肚 ， 便 完 全 醉 了 。
мы должны протянуть руку помощи , и мы ее протянем . ||| 我 们 应 该 ， 而 且 一 定 要 伸 出 援 助 之 手 。
– куда же ехать ? ||| “ 那 怎 么 走 呢 ？
уплатите в гостинице по счету . ||| 把 旅 馆 的 账 结 清 ，
на кооперативной они увидели полесова , бежавшего по тротуару , как пугливая антилопа . ||| 在 合 作 社 街 ， 他 们 看 见 ， 波 列 索 夫 像 只 受 惊 的 小 羚 羊 似 的 在 人 行 道 上 奔 跑 ，
часы на нем показывали пять минут одиннадцатого . ||| 站 上 的 时 钟 指 着 十 点 五 分 ，
он стал считаться диким и исчез со всех планов муни . ||| 于 是 它 便 被 视 为 化 外 之 楼 ， 并 且 从 莫 斯 科 不 动 产 管 理 局 的 各 项 计 划 中 消 失 了 。
это была ореховая мебель на гнутых ножках . ||| 全 都 是 胡 桃 木 的 曲 腿 家 具 。
– ну , я не знаю . ||| “ 我 不 知 道 ， 什 么 时 候 ，
а это , господа , самое главное . ||| 可 这 一 点 ， 先 生 们 ， 是 最 主 要 的 。
– с полтиной , прямо . ||| “ 加 半 个 卢 布 ， 一 排 正 中 。
по голове больше не бейте . ||| 别 再 打 脑 袋 了 。
дурак ! .. ||| 傻 瓜 ！ … …
порыскав глазами , ипполит матвеевич увидел свисающие с потолка фанерные прямоугольники , выкрашенные в основные цвета солнечного спектра . ||| 伊 波 里 特 · 马 特 韦 耶 维 奇 用 眼 睛 搜 索 了 一 番 才 看 见 ， 台 上 天 花 板 下 面 吊 着 几 块 太 阳 光 谱 基 本 颜 色 的 长 方 形 胶 合 板 ，
ни дверей , ни синих кисейных окон не было . ||| 既 没 有 房 门 ， 也 没 有 蓝 色 纱 窗 。
он собирался в этот день поехать в провал , но не успел . ||| 他 本 打 算 在 这 一 天 到 “ 地 窟 ” 去 ， 但 是 没 来 得 及 ，
ответом послужил страшный удар головой о драцену . ||| 对 这 一 要 价 的 回 答 ， 是 脑 袋 撞 在 铁 树 上 的 、 可 怕 的 撞 击 声 。
– ну вас к черту ! ||| “ 见 您 的 鬼 去 吧 ！
время славы и восторга ! ||| 光 荣 和 欢 乐 的 时 刻 ！
генерал едет , не сказав ему спасибо . ||| 将 军 去 了 ， 连 谢 谢 也 不 说 一 声 。
матушка видимо ею тяготилась и отвечала ей с каким-то грустным пренебрежением ; отец изредка чуть-чуть морщил брови . ||| 母 亲 显 然 对 她 厌 烦 透 了 ， 带 着 一 种 郁 闷 而 轻 蔑 的 态 度 应 付 着 她 ； 父 亲 有 时 稍 微 皱 几 下 眉 头 。
оно стояло сладкой болью во всех моих членах и разрешилось наконец восторженными прыжками и восклицаниями . ||| 这 种 幸 福 感 像 一 种 甜 蜜 的 痛 苦 充 满 了 我 的 全 身 ， 而 最 后 这 种 情 感 是 以 欣 喜 若 狂 的 蹦 跳 和 叫 喊 来 抒 发 的 。
— наталья алексеевна ! — начал он с свойственным ему сдержанным и значительным выражением , которое всегда заставляло слушателя думать , что рудин не высказывал и десятой доли того , что теснилось ему в душу , — наталья алексеевна ! ||| “ 娜 塔 里 娅 · 阿 历 克 赛 耶 芙 娜 ！ ” 他 用 自 己 特 有 的 那 种 镇 定 自 若 而 又 意 味 深 长 的 语 气 说 道 。 这 种 语 气 始 终 会 使 对 方 认 为 罗 亭 说 出 来 的 还 不 到 他 所 想 的 十 分 之 一 。 “ 娜 塔 里 娅 · 阿 历 克 赛 耶 芙 娜 ！
губы его слегка подергивало . ему было неловко ; но он старался скрыть свое замешательство . ||| 他 感 到 尴 尬 ， 但 竭 力 掩 饰 自 己 的 局 促 和 不 安 。
рудин встал . ||| 罗 亭 站 起 来 。
— то есть , правду сказать , я сам не знаю , почему я вернулся ; вероятно , потому , что о тебе вспомнил : хотелось с тобой посидеть , а к себе я еще успею . волынцев горько усмехнулся . ||| “ 说 实 在 的 ， 连 我 自 己 也 不 知 道 为 什 么 要 回 来 ， 也 许 是 因 为 惦 念 着 你 ， 想 陪 你 坐 坐 ， 回 家 么 ， 那 不 着 急 。 ” 沃 伦 采 夫 苦 笑 了 一 下 。
передняя сторона портика давно заросла густым кустарником : одни капители колонн виднелись над сплошною зеленью . ||| 柱 廊 前 侧 早 就 长 满 野 树 杂 草 ， 一 片 绿 荫 ， 只 露 出 柱 子 的 尖 顶 。
я хотел вам это сказать , узнать ваше мнение и просить вашей руки , потому что я и не богат и чувствую , что готов на все жертвы ... ||| 我 给 您 说 了 这 话 ， 深 盼 听 到 您 的 意 见 并 请 求 您 答 应 。 我 也 不 是 富 人 ， 但 我 愿 为 您 作 出 一 切 牺 牲 … …
— прощай , брат ! — сказал он аркадию , уже взобравшись на телегу , и , указав на пару галок , сидевших рядышком на крыше конюшни , прибавил : — вот тебе ! изучай ! ||| 登 上 马 车 的 时 候 ， 他 指 着 蹲 在 马 厩 屋 顶 上 的 一 对 寒 鸦 又 对 阿 尔 卡 季 补 充 说 ： “ 别 了 ， 老 弟 ！ 那 是 给 你 作 的 榜 样 ， 你 好 好 研 究 一 番 吧 ！ ”
— как хотите , — продолжала она , — а мне все-таки что-то говорит , что мы сошлись недаром , что мы будем хорошими друзьями . я уверена , что ваша эта , как бы сказать , ваша напряженность , сдержанность исчезнет наконец ? ||| “ 您 怎 么 想 都 行 ， ” 她 往 下 说 ， “ 但 感 觉 告 诉 我 ， 我 俩 并 非 相 逢 无 故 ， 我 们 将 成 为 好 朋 友 ， 我 相 信 您 的 — — 怎 么 说 好 呢 ？ — — 您 的 紧 张 感 、 压 抑 感 终 将 消 失 。 ”
что ж ? ||| 哪 能 不 去 ？
павел петрович постучал ногтями по столу . — я нахожу , что аркадий s'est dégourdi 2 , — заметил он . ||| 帕 维 尔 · 彼 得 罗 维 奇 用 手 指 弹 着 桌 子 ， 说 ： “ 我 发 现 阿 尔 季 s ′ e s t d é g o u r d i ① 。 I - - - - - - - - ① 法 语 ： 不 那 么 拘 谨 了 。 I
а из соседской усадьбы через чахлый и кривой совхозный виноградник следили за ними ада кравчук , ее муж михаил и их постоялица из ленинграда , белая мышка нора . ||| 邻 近 院 子 和 他 们 家 之 间 有 国 营 农 场 种 的 一 排 歪 歪 扭 扭 、 半 死 不 活 的 葡 萄 。 葡 萄 后 面 有 阿 达 · 克 拉 夫 丘 克 和 丈 夫 米 哈 伊 尔 ， 还 有 列 宁 格 勒 来 的 住 户 、 长 相 像 小 白 鼠 的 诺 拉 ， 在 密 切 地 注 视 着 他 们 。
– и потому каждый год пристаешь ко мне с этим глупым разговором , – хмыкнула медея . ||| “ 所 以 你 每 年 都 要 和 我 纠 缠 ， 反 复 提 这 个 愚 蠢 的 话 题 。 ” 美 狄 娅 不 以 为 然 地 哼 了 一 阵 说 。
жизнь , конечно , делается все лучше , но я думаю , что вдвоем нам эту хорошую жизнь будет легче переносить . ||| 生 活 自 然 是 来 越 美 好 越 ， 不 过 ， 我 想 ， 俩 人 一 起 去 面 对 这 种 美 好 生 活 ， 会 觉 得 好 受 一 些 。
– кружкой , кружкой зачерпните , здесь нет черпака , – сказал он . ||| “ 用 缸 子 ， 用 缸 子 舀 吧 ， 这 儿 没 有 大 木 勺 。 ” 他 说 。
правда , в нем не было внутренней яркости , которую ника так ценила , но , откровенно говоря , никаких пригласительных сигналов от него не исходило . ||| 的 确 ， 他 身 上 缺 乏 尼 卡 一 直 看 重 的 那 种 内 在 的 光 彩 ， 而 且 ， 从 另 一 方 面 说 ， 他 没 有 表 现 出 任 何 邀 请 的 信 号 。
это был особый , единственный в своем роде мир – вот что чувствовал бутонов каждой клеткой своего тела . ||| 这 是 个 奇 特 的 、 独 一 无 二 的 世 界 ， 布 托 诺 夫 身 上 的 每 一 个 细 胞 都 感 受 到 了 这 一 点 。
положение вещей представлялось ей так , что краснодеревщик у нее в кармане , но сама она колебалась : он , конечно , похож на мужика и положительный , но все же вахлак ... ||| 事 态 的 发 展 让 她 觉 得 这 个 细 木 匠 已 经 到 手 了 ， 但 她 自 己 还 在 犹 豫 ： 他 当 然 像 个 男 子 汉 ， 不 错 ， 可 就 是 土 里 土 气 的 . . . . . .
окаменевшая александра держала твердую руку на черной машиной голове , две старшие дочери стояли справа и слева , а позади , взявши нику за руку , оберегал их семейное горе иван исаевич . ||| 苶 呆 呆 发 愣 的 亚 历 山 德 拉 把 僵 硬 的 一 只 手 放 在 玛 莎 的 黑 头 发 上 ， 两 个 大 些 的 女 儿 左 右 站 立 ， 后 面 的 伊 万 · 伊 萨 耶 维 奇 拉 起 尼 卡 的 手 ， 对 他 们 家 发 生 的 不 幸 表 示 慰 问 。
суп под холодным взглядом веры ивановны быстро остывал , и мотя , имевшая здесь свой интерес , быстро уносила его неизвестно куда , а перед машей ставила большую тарелку со вторым , которое вскоре почти нетронутым отправлялось вслед за супом . потом маша съедала кусок белого хлеба с компотом , что , кстати , осталось на всю жизнь ее любимой едой , и бабушка говорила ей : – пошли . ||| 在 薇 拉 · 伊 万 诺 夫 娜 冷 冰 冰 的 目 光 下 ， 汤 很 快 就 凉 了 。 马 特 廖 娜 惦 记 着 自 己 那 点 事 儿 ， 很 快 就 把 汤 端 到 别 处 去 了 。 玛 莎 面 前 放 着 盛 第 二 道 菜 的 大 盘 子 ， 她 几 乎 连 一 口 都 没 碰 ， 也 随 第 一 道 菜 端 走 了 。 后 来 玛 莎 就 着 甜 煮 水 果 吃 了 一 块 白 面 包 。 顺 便 说 一 句 ， 这 已 成 了 她 一 辈 子 最 爱 吃 的 菜 。 姥 姥 对 她 说 ： 走 吧 。
потом он обернулся к ней , встал . ||| 然 后 他 朝 她 转 过 身 子 ， 站 了 起 来 。
– нуда , муся . ||| - - -
леночка , покормив мусю , которую медея так и не увидела , тут же кинулась распекать галю , зачем та выбросила полбанки виноградных листьев , заготовленных в прошлом году для долмы ... ||| - - -
потом маленький толстяк подрастал , обучался ходить и бегать и через три года , прибавив несколько незначительных килограммов , бросался с бегу на шею и снова казался пух-пером . ||| 然 后 小 胖 子 长 大 了 ， 学 会 了 走 路 和 跑 步 。 三 年 之 后 并 不 显 著 地 增 了 几 公 斤 的 体 重 ， 跑 过 来 跳 着 挂 到 你 的 脖 子 上 ， 又 显 得 分 量 那 么 轻 。
ни причин , ни объяснений как будто не было . ||| 既 没 有 原 因 ， 也 无 法 解 释 。
— вы с мужем ? ||| “ 您 是 和 丈 夫 一 起 来 的 吗 ？
все было очень зыбко : на одной чаше весов он , беспомощный , обессилевший , пораженный каким-то вирусом , на другой — так неласково встретивший его мир , и какая чаша перетянет , доктор не знал . ||| 一 切 都 还 很 不 稳 定 ： 在 天 平 的 一 端 是 他 这 个 无 助 的 、 疲 意 不 堪 的 、 被 某 种 病 毒 感 染 了 的 婴 儿 ， 在 另 一 端 则 是 如 此 不 亲 热 地 迎 接 他 的 世 界 ， 而 医 生 却 不 知 道 天 平 的 哪 一 端 会 变 得 重 一 点 。
молодящаяся пожилая дама выписала свидетельство о рождении , и сочетание фамилии и двух имен , одного , данного женой , — оно не слишком ему нравилось , но возражать он не стал — и другого , его собственного , окончательно узаконило существование ребенка и повлекло за собой вещи , в обычных случаях совершенно непримечательные , но казавшиеся им чудесными : прописку , получение пособия . ||| 一 位 上 了 年 纪 、 但 竭 力 要 显 得 年 轻 的 女 士 开 了 出 生 证 明 ， 写 下 了 孩 子 的 姓 和 两 个 名 字 ， 一 个 是 妻 子 取 的 — 他 不 太 喜 欢 这 个 名 字 ， 但 没 有 反 对 ， 另 一 个 是 他 自 己 的 名 字 ， 这 样 ， 孩 子 的 存 在 终 于 合 法 化 了 ， 同 时 也 引 出 了 平 常 根 本 不 起 眼 的 ， 但 在 他 们 看 来 却 是 奇 迹 般 的 东 西 ： 户 口 、 补 贴 。
где доказательства , что это справедливо ? ||| 有 什 么 证 据 说 明 这 是 对 的 ？ 你 们 会 引 证 事 物 的 自 然 规 律 和 社 会 现 象 的 合 法 性 。
князь с любопытством рассматривал рогожина ; казалось , тот был еще бледнее в эту минуту . ||| 公 爵 好 奇 地 端 详 着 罗 戈 任 ， 好 像 此 刻 他 的 脸 更 加 苍 白 了 。
ныне он участвовал и имел весьма значительный голос в некоторых солидных акционерных компаниях . ||| 现 在 在 好 几 家 体 面 的 公 司 里 都 有 股 份 ， 并 且 说 话 颇 有 影 响 。
- да вы точно ... из-за границы ? - как-то невольно спросил он наконец - и сбился ; он хотел , может быть , спросить : « да вы точно князь мышкин ? » ||| “ 那 么 您 确 是 … … 从 国 外 来 的 ？ ” 他 似 乎 身 不 由 已 地 问 道 ， 可 最 终 又 发 觉 他 说 走 了 样 ， 他 大 概 是 想 问 ： “ 那 么 您 确 是 梅 什 金 公 爵 ？ ”
в это время доложили ему , что пришел какой-то башмачкин . ||| 就 在 这 个 时 候 ， 有 人 禀 报 说 一 个 叫 巴 什 马 奇 金 的 人 求 见 。
после чего обратился к хозяйке и сказал : « а вы , матушка , и времени даром не теряйте , закажите ему теперь же сосновый гроб , потому что дубовый будет для него дорог » . ||| 接 着 ， 他 转 过 身 对 女 房 东 说 ： “ 老 大 娘 ， 您 就 别 再 耽 搁 了 ， 给 他 订 一 口 松 木 棺 材 吧 ， 因 为 橡 木 的 太 贵 了 。 ”
мой хозяин — маленький круглый человечек ; у него бурое , стертое лицо , зеленые зубы , водянисто-грязные глаза . ||| 我 的 老 板 是 个 矮 胖 子 ， 他 的 栗 色 脸 是 粗 糙 的 ， 牙 齿 是 青 绿 色 的 ， 湿 漉 漉 的 眼 睛 长 满 眼 屎 。
— дрых ? — сурово спросил хозяин ; жена его , тяжело поднимаясь по лестнице , жаловалась , что я ее простудил , старуха ругалась . ||| “ 你 贪 睡 了 ？ ” 主 人 严 厉 地 问 。 他 的 妻 子 一 边 重 脚 重 手 地 走 上 楼 梯 去 ， 一 边 埋 怨 我 害 她 伤 了 风 。
это были поэмы пушкина . ||| 这 是 一 本 普 希 金 的 诗 集 。
и не предупреждал ли сам милашевич против имитации чучела ? ||| 米 拉 舍 维 奇 本 人 没 警 告 过 反 对 仿 制 标 本 吗 ？
меня столько раз могли убить . ||| 我 多 少 次 都 有 可 能 被 打 死 。
дверь драная на замке , с притолоки смотрит котище вот такими глазами — жуть , никогда этаких не видел . ||| 一 扇 破 门 上 了 锁 ， 一 窝 小 猫 从 门 框 上 用 这 样 的 目 光 望 着 — — 太 可 怕 了 ， 从 来 没 有 见 过 这 样 的 目 光 。
служащие долго еще стояли у окна , комментируя происшествие и ставя его в связь с возможным сокращением штата . ||| 而 职 员 们 依 然 在 窗 前 久 久 地 议 论 着 这 件 事 ， 并 把 它 与 可 能 裁 员 联 系 起 来 。
– что вы на меня смотрите такими злыми глазами , как солдат на вошь ? ||| “ 您 怎 么 这 么 恶 狠 狠 地 看 着 我 ， 就 像 是 大 兵 看 着 虱 子 似 的 ，
– затем , что нам нужен оборотный капитал . ||| “ 为 的 是 咱 们 需 要 的 周 转 资 金 。
можно ? ||| 可 以 吗 ？ ”
я баллотированный , облеченный доверием . ||| 我 是 被 选 出 来 的 ， 是 受 公 众 信 任 的 。 ”
он размахивал пухлыми руками , прыгал и отскакивал , словно играл в теннис . ||| 这 一 男 子 两 只 胖 手 比 比 划 划 ， 时 而 前 倾 ， 时 而 跳 来 跳 去 ， 像 打 网 球 一 样 。
при приближении персицкого она снова заговорила . ||| 佩 尔 希 茨 基 一 走 近 ， 她 便 马 上 说 将 起 来 。
в облаке пыли катился к пароходу толстенький платон плащук . ||| 胖 胖 的 普 拉 顿 · 普 拉 休 克 夹 带 着 一 团 团 尘 雾 向 轮 船 奔 去 。
автомобили бесшумно остановились . ||| 汽 车 静 静 停 了 下 来 。
– я ведь пошутил . ||| “ 我 是 开 玩 笑 的 。
прочтите мне « на холмах грузии » . только сядьте сперва . ||| 请 您 给 我 朗 诵 《 在 格 鲁 吉 亚 的 山 冈 上 》 ， 不 过 您 先 坐 下 。 ”
отец его не жаловал и обращался с ним до оскорбительности вежливо . ||| 父 亲 瞧 不 起 他 ， 竟 以 侮 辱 性 的 礼 貌 对 待 他 。
а с бароном вы давно знакомы ? ||| 您 跟 男 爵 认 识 很 久 了 吗 ？ ”
в описаниях его недоставало красок . ||| 他 不 善 于 绘 声 绘 色 地 描 述 ， 也 不 会 逗 人 发 笑 。
— всё лето , осень , а может быть , и зиму . ||| “ 住 一 个 夏 天 ， 一 个 秋 天 ， 说 不 定 冬 天 也 在 这 儿 过 。
две огромные сосны напоминали о ней ; ветер вечно шумел и угрюмо гудел в их высокой , тощей зелени ... ||| 惟 一 能 勾 起 对 它 回 忆 的 是 那 两 棵 巨 松 。 巨 松 又 高 又 细 的 枝 叶 日 夜 发 出 凄 厉 的 呼 啸 … …
я рада за катю ... и за аркадия николаевича . ||| 我 为 卡 捷 琳 娜 感 到 高 兴 … … 也 为 阿 尔 卡 季 · 尼 古 拉 伊 奇 。
— вот с этим я не совсем согласен , — промолвил базаров . — немножко на французский роман сбивается , неправдоподобно что-то . ||| “ 对 于 这 一 项 我 不 完 全 同 意 ， ” 巴 扎 罗 夫 说 ， “ 这 带 有 点 儿 法 国 小 说 的 味 儿 ， 不 像 是 真 的 了 。 ”
кровь его загоралась , как только он вспоминал о ней ; он легко сладил бы с своею кровью , но что-то другое в него вселилось , чего он никак не допускал , над чем всегда трунил , что возмущало всю его гордость . ||| 一 想 起 她 ， 他 的 血 液 便 像 在 燃 烧 。 他 本 可 以 轻 易 地 平 息 骚 动 ， 但 他 体 内 活 跃 着 某 种 新 的 因 子 ， 对 此 他 从 未 允 许 存 在 并 刻 意 加 以 抑 制 过 ， 他 的 自 傲 也 曾 坚 决 反 对 过 。
одинцова опустилась на то же самое кресло , на котором сидела накануне , и базаров занял вчерашнее свое место . ||| 他 俩 各 自 坐 到 昨 夜 坐 的 位 置 上 。
он рванулся к ней ... ||| 他 又 向 她 扑 去 … …
— жена-то ? ||| “ 老 婆 ？
— к аркадию николаичу , — подхватил старик . ||| “ 去 告 诉 阿 尔 卡 季 · 尼 古 拉 伊 奇 ， ” 老 人 接 过 话 头 。
дороги дважды сходились : на распадке и на круглой поляне между верхним и нижним поселком . отсюда открывался вид , почти непереносимый для глаза . ||| 两 条 路 于 两 处 汇 合 ： 在 峪 谷 那 里 和 在 上 镇 与 下 镇 之 间 的 圆 形 林 中 空 地 上 — — 由 那 儿 逐 渐 展 现 奇 妙 的 风 光 。
– выпивают вторые сутки , гости к ним приехали . ||| “ 他 们 来 了 客 人 ， 连 着 喝 酒 已 经 是 第 五 天 了 。
« беснуется девочка » , – подумала медея . ||| “ 小 姑 娘 发 狂 了 。 ” 美 狄 娅 想 着 。
известно было , что ваня жив , но неподвижен . ||| 都 知 道 万 尼 亚 还 活 着 ， 但 不 能 动 弹 。
