,ckiptagger,pkuseg,fastHan,PyNLPIR,stanza,spacy,ltp,jiagu,lac,snownlp,target,char,pymorphy,rus
10780,VA,AD,AD,AD,NN,AD,VV,NN,NN,DEG,AD,低,NOUN,голосом
10781,VA,AD,AD,AD,NN,AD,VV,NN,NN,DEG,AD,声,NOUN,голосом
10782,NN,VA,VV,VA,NN,VV,VV,VA,VA,VA,VV,低,NOUN,голосом
10783,NN,VA,VV,NN,NN,VV,VV,NN,VA,NN,VV,气,NOUN,голосом
10784,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PUNCT,.
10785,VE,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,有,ADVB,порой
10786,VV,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,时,ADVB,порой
10787,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,他,NPRO,ему
10788,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,觉,VERB,мерещилось
10789,AD,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,得,VERB,мерещилось
10790,VE,VE,VE,VE,VE,VE,VE,VE,VE,VV,VE,有,,
10791,DT,DT,DT,DT,DT,DT,DT,DT,DT,DT,DT,某,NPRO,нечто
10792,NN,PN,M,DT,DT,DT,PN,PN,PN,PN,M,种,NPRO,нечто
10793,AD,AD,AD,AD,AD,AD,CD,AD,AD,CD,AD,十,ADVB,совсем
10794,AD,AD,AD,AD,AD,AD,CD,AD,AD,CD,AD,分,ADVB,совсем
10795,VV,VV,VV,VV,VA,VV,VV,VV,VV,VV,VV,冒,ADJF,рискованное
10796,VV,VV,VV,VV,VA,VV,VV,VV,VV,VV,VV,险,ADJF,рискованное
10797,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,,
10798,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,东,NPRO,нечто
10799,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,西,NPRO,нечто
10800,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PUNCT,.
10801,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,你,,
10802,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,自,ADJF,сам
10803,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,己,ADJF,сам
10804,AD,AD,AD,VV,AD,AD,VV,AD,AD,VV,AD,好,CONJ,будто
10805,AD,AD,AD,VV,AD,AD,VV,AD,AD,VV,AD,像,CONJ,будто
10806,AD,AD,AD,AD,AD,AD,AD,AD,VV,AD,AD,不,PRCL,не
10807,VV,VV,VV,VV,VA,VV,VV,VV,VV,VV,VV,晓,VERB,знаешь
10808,AD,VV,VV,VV,VA,VV,VV,VV,VV,VV,VV,得,VERB,знаешь
10809,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
10810,VV,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,报,NOUN,газеты
10811,VV,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,纸,NOUN,газеты
10812,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,也,PRCL,тоже
10813,AD,DEG,VV,DER,VV,VV,VV,VV,VV,VV,VV,得,PRED,надо
10814,NN,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,会,ADVB,умеючи
10815,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,看,INFN,читать
10816,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
10817,AD,AD,AD,VV,AD,AD,AD,VV,VV,AD,AD,不,PRCL,не
10818,AD,VV,VV,VV,VV,VV,AD,VV,VV,VV,VV,能,,
10819,AD,VV,VV,dl,VV,VV,AD,VV,VV,NR,AD,逐,NOUN,слово
10820,AD,VV,VV,dl,VV,VV,AD,VV,NN,NR,AD,字,NOUN,слово
10821,AD,VV,VV,dl,NN,VV,AD,VV,AD,VV,AD,逐,NOUN,слово
10822,AD,VV,VV,dl,NN,VV,AD,VV,AD,NN,AD,句,NOUN,слово
10823,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
10824,AD,AD,AD,VV,AD,AD,VV,AD,AD,VV,AD,好,CONJ,будто
10825,AD,AD,AD,VV,AD,AD,VV,AD,AD,VV,AD,像,CONJ,будто
10826,P,P,P,P,P,P,P,P,P,P,P,按,PREP,по
10827,P,P,P,P,P,P,P,P,P,P,P,照,PREP,по
10828,NN,NN,NN,NN,NN,NN,VV,NN,NN,NN,NN,工,NOUN,занятий
10829,NN,NN,NN,NN,NN,NN,VV,NN,NN,NN,NN,作,NOUN,занятий
10830,NR,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,范,NOUN,роду
10831,NR,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,围,NOUN,роду
10832,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,,
10833,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,你,NPRO,тебе
10834,AD,AD,AD,AD,AD,AD,AD,AD,VV,AD,AD,不,PRCL,не
10835,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,需,VERB,приходилось
10836,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,要,VERB,приходилось
10837,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,确,INFN,убеждаться
10838,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,信,INFN,убеждаться
10839,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
10840,NN,P,P,P,P,P,P,P,P,P,P,对,PREP,для
10841,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,历,NOUN,истории
10842,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,史,NOUN,истории
10843,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,和,CONJ,и
10844,VV,JJ,JJ,NN,JJ,JJ,JJ,NN,NN,NN,JJ,现,,
10845,VV,JJ,JJ,NN,JJ,JJ,JJ,NN,NN,NN,JJ,实,,
10846,NN,NN,NN,NN,NN,NN,VV,NN,NN,NN,NN,生,NOUN,жизни
10847,NN,NN,NN,NN,NN,NN,VV,NN,NN,NN,NN,活,NOUN,жизни
10848,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,中,,
10849,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,的,,
10850,NN,VV,JJ,NN,AD,JJ,VV,JJ,JJ,VV,JJ,所,PRTF,называемые
10851,NN,VV,JJ,NN,VV,JJ,VV,JJ,JJ,VV,JJ,谓,PRTF,называемые
10852,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,事,NOUN,фактов
10853,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,实,NOUN,фактов
10854,NN,DEG,LC,VV,LC,LC,DEG,VV,VV,LC,LC,来,PREP,для
10855,NN,DEG,LC,VV,VV,LC,DEG,VV,VV,VV,LC,说,PREP,для
10856,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,,
10857,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,往,,
10858,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,往,,
10859,VC,VV,VC,VC,VC,VC,VC,VC,VC,VC,VC,是,,
10860,AD,VV,JJ,VV,AD,JJ,VV,JJ,VV,VV,JJ,所,PRTF,называемых
10861,VV,VV,JJ,VV,VV,JJ,VV,JJ,VV,VV,JJ,谓,PRTF,называемых
10862,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,的,,
10863,VV,NN,NN,VV,NR,NN,NN,NN,NN,PU,NN,胡,,
10864,VV,NN,NN,VV,NR,NN,NN,NN,NN,PU,NN,扯,,
10865,PU,PU,PU,PU,NN,PU,PU,PU,PU,PU,PU,—,,
10866,PU,PU,PU,PU,NN,PU,PU,PU,PU,PU,PU,—,PUNCT,—
10867,AD,AD,AD,AD,CC,AD,AD,AD,AD,AD,AD,甚,PRCL,даже
10868,AD,AD,AD,AD,CC,AD,AD,AD,AD,AD,AD,至,PRCL,даже
10869,AD,AD,AD,AD,VA,AD,AD,AD,VA,AD,AD,很,,
10870,VA,VV,VA,VV,VA,VA,VV,VA,VA,VA,VA,奇,ADVB,странно
10871,VA,VV,VA,VV,DEG,VA,VV,VA,VA,VA,VA,怪,ADVB,странно
10872,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
10873,NR,DEG,AD,AD,NR,AD,DEG,VV,NR,NR,AD,连,,
10874,NR,NR,NR,NR,NR,NR,NR,VV,NR,NR,NR,克,NOUN,кеша
10875,NR,NR,NR,NR,NR,NR,NR,NN,NR,NR,NR,沙,NOUN,кеша
10876,NR,NR,NR,NR,PU,NR,NR,PU,NR,PU,NR,·,,
10877,NR,NR,NR,NR,NR,NR,NR,VV,NR,NR,NR,巴,NOUN,бабич
10878,NR,NR,NR,NR,NR,NR,NR,NN,NR,NR,NR,比,NOUN,бабич
10879,NR,NR,NR,NR,NR,NR,NR,NN,NR,NR,NR,奇,NOUN,бабич
10880,AD,AD,AD,AD,VV,AD,AD,AD,AD,AD,AD,都,,
10881,AD,DEG,VV,VV,VV,VV,VV,VV,VV,VV,VV,得,ADJS,должен
10882,BA,BA,BA,BA,BA,BA,BA,BA,BA,BA,BA,把,,
10883,VV,DT,DT,DT,DT,DT,DT,DT,DT,DT,DT,这,ADJF,такие
10884,M,DT,DT,DT,DT,DT,DT,DT,DT,DT,DT,些,ADJF,такие
10885,VV,NN,NN,NN,NN,NN,NN,VV,NN,NN,NN,东,NOUN,вещи
10886,NN,NN,NN,NN,NN,NN,NN,VV,NN,NN,NN,西,NOUN,вещи
10887,P,NN,P,P,P,NN,P,VV,P,P,P,向,,
10888,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,你,NPRO,тебе
10889,VV,PN,JJ,DT,PN,JJ,PN,PN,PN,PN,JJ,这,,
10890,VV,PN,JJ,DT,PN,JJ,PN,PN,PN,PN,JJ,样,,
10891,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,一,,
10892,M,M,M,M,M,M,M,M,CD,M,M,位,,
10893,NN,VV,VV,NN,VV,VV,VV,VV,VV,VV,VV,包,NOUN,фантиков
10894,NN,NN,NN,NN,VV,NN,VV,NN,NN,NN,NN,糖,NOUN,фантиков
10895,NN,NN,NN,NN,DEG,NN,VV,NN,NN,NN,NN,纸,NOUN,фантиков
10896,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,NOUN,фантиков
10897,VV,NN,NN,NN,VV,NN,NN,NN,NN,NN,NN,注,NOUN,толкователю
10898,VV,NN,NN,NN,VV,NN,NN,NN,NN,NN,NN,释,NOUN,толкователю
10899,NN,NN,NN,NN,DEG,NN,NN,NN,NN,NN,NN,者,NOUN,толкователю
10900,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,作,NOUN,толкователю
10901,NN,VV,NN,NN,NN,NN,VV,VV,NN,NN,NN,提,INFN,напоминать
10902,NN,VV,NN,NN,NN,NN,VV,VV,NN,NN,NN,示,INFN,напоминать
10903,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PUNCT,.
10904,NN,VV,VV,VV,VA,VA,VV,VV,VV,VA,VA,带,,
10905,NN,VV,VV,VV,VA,VA,VV,VV,VV,VA,VA,罩,,
10906,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,,
10907,VV,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,灯,NOUN,фонарь
10908,P,P,P,P,VV,P,P,P,P,P,P,在,PREP,на
10909,VA,VA,JJ,VA,JJ,JJ,JJ,JJ,JJ,JJ,JJ,高,ADJF,высоком
10910,VA,VA,JJ,VA,JJ,JJ,JJ,JJ,JJ,JJ,JJ,高,ADJF,высоком
10911,DEG,VA,DEG,VA,DEG,NN,VA,DEG,DEG,VA,DEG,的,ADJF,высоком
10912,NN,NN,NN,NN,NN,NN,NN,NN,NN,M,NN,杆,NOUN,стебле
10913,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,子,NOUN,стебле
10914,LC,VV,LC,LC,VV,LC,LC,LC,LC,LC,LC,上,PREP,на
10915,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,发,VERB,горел
10916,VA,AS,AS,AS,AS,VV,VV,AS,AS,DEG,AS,着,VERB,горел
10917,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,昏,,
10918,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,暗,,
10919,SP,SP,SP,DEG,SP,SP,VA,SP,SP,DEG,SP,的,,
10920,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
10921,NN,VV,P,VV,NN,P,VV,VV,VV,h,P,像,CONJ,как
10922,NN,NN,P,NN,NN,P,VV,NN,VV,h,P,象,,
10923,NN,NN,NN,NN,NN,NR,NN,NN,NN,NN,NN,玫,,
10924,NN,NN,NN,NN,NN,NR,NN,NN,NN,NN,NN,瑰,,
10925,NN,NN,NN,NN,VV,NN,NN,NN,NN,NN,NN,花,NOUN,бутон
10926,NN,NN,NN,NN,VV,NN,NN,NN,NN,NN,NN,蕾,NOUN,бутон
10927,AD,PN,VA,DT,VA,DT,PN,PN,PN,h,VA,那,,
10928,AD,PN,VA,VA,DEG,DT,PN,PN,PN,h,VA,般,,
10929,NN,NN,JJ,NN,JJ,JJ,NN,NN,NN,NN,JJ,粉,ADJF,розовый
10930,NN,NN,JJ,NN,JJ,JJ,NN,NN,NN,NN,JJ,红,ADJF,розовый
10931,NN,NN,JJ,NN,DEG,JJ,NN,NN,NN,NN,JJ,色,ADJF,розовый
10932,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,的,,
10933,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,光,,
10934,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PUNCT,.
10935,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,“,PUNCT,«
10936,AD,AD,AD,AD,AD,AD,PU,AD,VV,AD,AD,就,CONJ,значит
10937,VC,AD,AD,AD,AD,AD,PU,AD,VV,AD,AD,是,CONJ,значит
10938,VV,AD,AD,AD,VV,AD,PU,AD,VV,VV,AD,说,CONJ,значит
10939,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
10940,VV,PN,PN,DT,PN,VV,PN,PN,PN,PN,PN,这,PRCL,это
10941,VC,PN,VC,VC,VC,VC,VC,VC,VC,VC,VC,是,,
10942,VV,VV,NN,VV,NN,NN,VV,VV,VV,VV,NN,煎,NOUN,бифштекс
10943,NN,NN,NN,NN,NN,NN,VV,NN,NN,NR,NN,牛,NOUN,бифштекс
10944,NN,NN,NN,NN,NN,NN,VV,NN,NN,NR,NN,排,NOUN,бифштекс
10945,PU,PU,PU,PU,PU,PU,PU,PU,PU,NR,PU,。,PUNCT,.
10946,PU,PU,PU,PU,PU,PU,PU,PU,PU,NR,PU,”,PUNCT,»
10947,VV,VV,VV,VV,NN,VV,VV,VV,VV,VV,VV,站,PRTF,стоявший
10948,P,P,P,P,VV,P,P,VV,P,P,P,在,PREP,у
10949,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,饭,NOUN,ресторана
10950,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,店,NOUN,ресторана
10951,LC,LC,LC,LC,NN,LC,LC,LC,LC,LC,LC,旁,PREP,у
10952,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,PRTF,стоявший
10953,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,人,PRTF,стоявший
10954,NN,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,现,ADVB,теперь
10955,P,NT,NT,NT,P,NT,NT,NT,NT,NT,NT,在,ADVB,теперь
10956,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,自,ADJF,сам
10957,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,己,ADJF,сам
10958,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,也,,
10959,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,搞,VERB,понимал
10960,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,不,PRCL,не
10961,PU,VA,VA,VA,VA,VA,AD,VA,VA,VA,VA,清,VERB,понимал
10962,PU,VA,VA,VA,VA,VA,AD,VA,VA,VA,VA,楚,VERB,понимал
10963,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
10964,CS,CS,CS,CS,P,SCONJ,CS,CS,CS,CS,CS,既,,
10965,CS,CS,CS,CS,P,SCONJ,CS,CS,CS,CS,CS,然,,
10966,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,未,PRCL,не
10967,SB,SB,SB,SB,VV,BA,SB,SB,SB,SB,SB,被,PRTF,званный
10968,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,邀,PRTF,званный
10969,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,请,PRTF,званный
10970,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,参,PRTF,званный
10971,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,加,PRTF,званный
10972,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,酒,NOUN,пир
10973,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,宴,NOUN,пир
10974,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,,
10975,VV,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,还,ADVB,еще
10976,P,AD,AD,P,AD,AD,AD,AD,AD,P,AD,在,ADVB,еще
10977,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,等,,
10978,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,待,,
10979,DT,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,什,NPRO,чего
10980,DT,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,么,NPRO,чего
10981,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PUNCT,.
10982,AD,PN,AD,AD,AD,AD,PN,PN,PN,PN,AD,如,CONJ,как
10983,AD,PN,AD,AD,AD,AD,PN,PN,PN,PN,AD,何,CONJ,как
10984,VV,AD,AD,AD,VV,AD,AD,AD,VV,AD,AD,没,PRCL,не
10985,VV,VV,VV,VV,VV,VV,VV,P,VV,VV,VV,让,INFN,впустить
10986,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,他,NPRO,их
10987,VV,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,们,NPRO,их
10988,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,进,INFN,впустить
10989,VV,NN,VV,NN,VV,VV,VV,VV,VV,NN,VV,门,NOUN,дверь
10990,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
10991,AD,PN,AD,AD,AD,AD,PN,PN,PN,PN,AD,如,CONJ,как
10992,AD,PN,AD,AD,AD,AD,PN,PN,PN,PN,AD,何,CONJ,как
10993,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,隐,INFN,укрыться
10994,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,瞒,INFN,укрыться
10995,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,住,INFN,укрыться
10996,VV,DT,DT,DT,DT,DT,DT,DT,DT,DT,DT,这,ADJF,этой
10997,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,一,ADJF,этой
10998,NN,NN,NN,NN,NN,NN,NN,VV,NN,VV,NN,希,NOUN,надежды
10999,NN,NN,NN,NN,NN,NN,NN,VV,NN,VV,NN,望,NOUN,надежды
11000,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
11001,VV,VV,VV,VV,VV,NN,VV,VV,NN,VV,VV,哀,NOUN,мольбы
11002,VV,VV,VV,VV,VV,NN,VV,VV,NN,VV,VV,求,NOUN,мольбы
11003,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
11004,VV,VV,VV,VV,VV,VV,VV,NN,VV,VV,VV,期,NOUN,ожидания
11005,VV,VV,VV,VV,VV,VV,VV,NN,VV,VV,VV,望,NOUN,ожидания
11006,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
11007,NN,VV,VV,VV,NN,VV,VV,VV,VV,NN,VV,要,NOUN,требования
11008,NN,VV,VV,VV,NN,VV,VV,VV,VV,NN,VV,求,NOUN,требования
11009,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,和,,
11010,NR,VV,VV,VV,NN,NN,VV,VV,VV,VV,VV,威,NOUN,угрозы
11011,NR,VV,VV,VV,NN,NN,VV,VV,VV,VV,VV,胁,NOUN,угрозы
11012,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,？,PUNCT,?
11013,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,但,CONJ,но
11014,P,P,P,P,P,P,P,P,P,P,P,在,PREP,к
11015,VV,PN,PN,DT,PN,PN,PN,PN,PN,PN,PN,这,ADJF,той
11016,LC,LC,LC,LC,LC,LC,LC,NT,DEG,LC,LC,之,NOUN,поре
11017,LC,LC,LC,LC,LC,LC,LC,NT,DEG,LC,LC,前,NOUN,поре
11018,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,CONJ,и
11019,VA,JJ,JJ,JJ,DEG,JJ,JJ,NN,NN,VA,JJ,小,NOUN,мальчик
11020,NN,NN,NN,NN,NN,NN,VA,NN,NN,NN,NN,男,NOUN,мальчик
11021,NN,NN,NN,NN,NN,NN,VA,NN,NN,NN,NN,孩,NOUN,мальчик
11022,VV,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,将,VERB,покинет
11023,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,离,VERB,покинет
11024,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,开,VERB,покинет
11025,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,失,PRTF,потерявшего
11026,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,去,PRTF,потерявшего
11027,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,力,NOUN,силу
11028,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,量,NOUN,силу
11029,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,、,PUNCT,","
11030,NN,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,抛,PRTF,отставленного
11031,NN,VV,VV,AD,VV,AD,VV,VV,VV,AD,VV,却,PRTF,отставленного
11032,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,残,NOUN,инвалида
11033,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,疾,NOUN,инвалида
11034,NN,NN,NN,NN,DEG,NN,NN,NN,NN,NN,NN,人,NOUN,инвалида
11035,DT,DT,DT,DT,DT,DT,DT,DT,DT,DT,DT,一,ADJF,всех
11036,DT,DT,DT,DT,DT,DT,DT,DT,DT,DT,DT,切,ADJF,всех
11037,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,事,NOUN,дел
11038,VV,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,务,NOUN,дел
11039,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,,
11040,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,他,NPRO,его
11041,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,：,PUNCT,;
11042,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,他,NPRO,он
11043,VV,AD,AD,AD,VV,AD,AD,AD,AD,AD,AD,将,VERB,найдет
11044,VV,VV,P,VV,VV,P,P,P,P,P,P,为,,
11045,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,自,NPRO,себе
11046,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,己,NPRO,себе
11047,NN,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,寻,VERB,найдет
11048,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,找,VERB,найдет
11049,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,新,ADJF,новое
11050,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,ADJF,новое
11051,NN,NN,NN,NN,NN,NN,VV,VV,NN,NN,NN,保,NOUN,покровительство
11052,NN,NN,NN,NN,NN,NN,VV,VV,NN,NN,NN,护,NOUN,покровительство
11053,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,和,CONJ,и
11054,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,新,ADJF,новый
11055,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,ADJF,новый
11056,VA,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,VA,JJ,特,ADJF,особый
11057,VA,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,VA,JJ,殊,ADJF,особый
11058,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,道,NOUN,путь
11059,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,路,NOUN,путь
11060,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,—,PUNCT,—
11061,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,—,PUNCT,—
11062,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,逐,ADVB,постепенно
11063,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,渐,ADVB,постепенно
11064,AD,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,显,PRTF,взрослевший
11065,DEG,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,得,PRTF,взрослевший
11066,VA,VA,VA,VA,VA,VA,VA,VA,NN,VA,VA,成,PRTF,взрослевший
11067,VA,VA,VA,VA,VA,VA,VA,VA,NN,VA,VA,熟,PRTF,взрослевший
11068,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
11069,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,但,CONJ,но
11070,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,未,CONJ,ли
11071,AD,AD,AD,VA,AD,AD,AD,AD,AD,AD,AD,必,CONJ,ли
11072,AD,VV,VV,VA,AD,VV,AD,VV,VV,VV,VV,要,,
11073,P,P,P,P,P,P,P,P,P,NR,P,在,PREP,в
11074,NN,NN,NN,NN,NN,NN,NN,NN,NN,NR,NN,个,NOUN,росте
11075,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,子,NOUN,росте
11076,LC,VV,LC,LC,LC,LC,LC,LC,LC,LC,LC,上,,
11077,VE,VE,VE,VE,VE,VE,VE,VE,VE,VV,VE,有,PRTF,прибавлявший
11078,NN,JJ,JJ,AD,AD,JJ,JJ,AD,AD,AD,JJ,特,ADVB,особенно
11079,NN,JJ,JJ,AD,AD,JJ,JJ,AD,AD,AD,JJ,别,ADVB,особенно
11080,VA,NN,NN,VV,VV,NN,VV,VV,VV,VV,NN,增,PRTF,прибавлявший
11081,VA,NN,NN,VV,VV,NN,VV,VV,VV,VV,NN,长,PRTF,прибавлявший
11082,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
